Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.8203e+01,-0.288,-0.304,-13.6,-13.8
-1.8195e+01,-0.288,-0.272,-13.6,-13.4
-1.8187e+01,-0.288,-0.296,-13.6,-13.8
-1.8180e+01,-0.288,-0.272,-13.6,-13.4
-1.8172e+01,-0.288,-0.296,-13.6,-13.8
-1.8164e+01,-0.288,-0.272,-13.6,-13.4
-1.8157e+01,-0.288,-0.304,-13.6,-13.8
-1.8149e+01,-0.288,-0.272,-13.6,-13.4
-1.8141e+01,-0.288,-0.296,-13.6,-13.8
-1.8134e+01,-0.288,-0.272,-13.6,-13.4
-1.8126e+01,-0.288,-0.296,-13.6,-13.8
-1.8118e+01,-0.288,-0.272,-13.6,-13.4
-1.8111e+01,-0.288,-0.296,-13.6,-13.8
-1.8103e+01,-0.288,-0.272,-13.6,-13.4
-1.8095e+01,-0.288,-0.296,-13.6,-13.8
-1.8088e+01,-0.288,-0.272,-13.6,-13.4
-1.8080e+01,-0.288,-0.304,-13.6,-13.8
-1.8072e+01,-0.288,-0.272,-13.6,-13.4
-1.8065e+01,-0.288,-0.296,-13.6,-13.8
-1.8057e+01,-0.288,-0.272,-13.6,-13.4
-1.8049e+01,-0.288,-0.296,-13.6,-13.8
-1.8041e+01,-0.288,-0.272,-13.6,-13.4
-1.8034e+01,-0.288,-0.296,-13.6,-13.8
-1.8026e+01,-0.28,-0.272,-13.6,-13.4
-1.8018e+01,-0.28,-0.304,-13.6,-13.8
-1.8011e+01,-0.28,-0.272,-13.6,-13.4
-1.8003e+01,-0.28,-0.296,-13.6,-13.8
-1.7995e+01,-0.28,-0.272,-13.6,-13.4
-1.7988e+01,-0.28,-0.296,-13.6,-13.8
-1.7980e+01,-0.28,-0.272,-13.6,-13.4
-1.7972e+01,-0.28,-0.296,-13.6,-14
-1.7965e+01,-0.28,-0.272,-13.6,-13.4
-1.7957e+01,-0.28,-0.296,-13.6,-14
-1.7949e+01,-0.28,-0.272,-13.6,-13.4
-1.7942e+01,-0.28,-0.296,-13.6,-14
-1.7934e+01,-0.28,-0.272,-13.6,-13.4
-1.7926e+01,-0.28,-0.296,-13.8,-14
-1.7919e+01,-0.28,-0.272,-13.8,-13.4
